,10_2_P_R_A__0,10,2,25.0,2.57,117.02,21.45,64.0,Kluster
0,10_2_P_R_A__1,10,2,23.09,2.36,119.45,21.64,78.5,1
1,10_2_P_R_A__2,10,2,22.09,2.12,118.73,19.91,86.0,1
2,10_2_P_R_A__3,10,2,25.95,2.4,121.75,22.18,79.0,1
3,10_2_P_R_A__4,10,2,21.55,2.67,114.53,18.82,121.33,16
4,10_2_P_R_F__0,10,2,23.27,2.57,124.03,20.09,106.75,16
5,10_2_P_R_F__1,10,2,18.18,2.32,112.0,14.36,60.8,4
6,10_2_P_R_F__2,10,2,20.68,2.78,124.66,16.09,67.2,1
7,10_2_P_R_F__3,10,2,26.5,2.53,125.19,24.36,86.43,1
8,10_2_P_R_F__4,10,2,27.27,3.0,126.38,24.73,77.43,1
9,10_2_P_R_M__0,10,2,24.36,2.51,125.31,18.45,110.0,16
10,10_2_P_R_M__1,10,2,18.32,2.43,119.98,14.73,71.75,1
11,10_2_P_R_M__2,10,2,23.73,2.62,123.39,21.09,72.0,1
12,10_2_P_R_M__3,10,2,19.14,2.66,119.31,16.82,103.33,16
13,10_2_P_R_M__4,10,2,19.05,2.4,131.59,14.55,64.25,1
14,10_2_P_S_A__0,10,2,19.82,2.46,24.86,12.0,66.0,10
15,10_2_P_S_A__1,10,2,22.77,2.81,23.88,15.64,57.5,10
16,10_2_P_S_A__2,10,2,26.45,2.2,21.26,24.18,121.33,7
17,10_2_P_S_A__3,10,2,25.27,2.2,21.47,22.73,67.4,10
18,10_2_P_S_A__4,10,2,25.41,2.3,23.65,21.18,123.33,7
19,10_2_P_S_F__0,10,2,24.5,2.12,22.05,20.18,97.0,7
20,10_2_P_S_F__1,10,2,16.09,2.7,21.31,13.27,60.4,10
21,10_2_P_S_F__2,10,2,21.45,2.65,22.03,17.36,90.4,7
22,10_2_P_S_F__3,10,2,26.5,2.42,24.38,23.82,92.5,7
23,10_2_P_S_F__4,10,2,25.91,2.27,23.97,22.18,83.0,7
24,10_2_P_S_M__0,10,2,29.59,3.14,23.31,26.18,86.33,7
25,10_2_P_S_M__1,10,2,27.59,2.23,25.24,25.18,79.0,10
26,10_2_P_S_M__2,10,2,21.05,2.31,24.64,15.64,72.0,10
27,10_2_P_S_M__3,10,2,22.18,2.5,25.26,17.55,54.5,3
28,10_2_P_S_M__4,10,2,24.86,2.14,26.17,20.73,80.8,10
29,10_2_Se_R_A__0,10,2,21.36,19.55,123.17,16.91,81.67,18
30,10_2_Se_R_A__1,10,2,21.41,12.66,118.33,15.91,70.67,9
